771.850	16
771.866	14
771.883	13
771.899	15
771.915	14
771.931	11
771.947	8
771.964	15
771.980	21
771.996	12
772.012	11
772.028	7
772.045	9
772.061	8
772.077	9
772.093	18
772.109	10
772.126	22
772.142	12
772.158	15
772.174	7
772.190	13
772.206	13
772.223	12
772.239	13
772.255	13
772.271	20
772.287	11
772.304	16
772.320	7
772.336	16
772.352	9
772.368	23
772.384	10
772.401	11
772.417	12
772.433	14
772.449	12
772.465	16
772.482	17
772.498	10
772.514	1
772.530	13
772.546	20
772.562	17
772.579	15
772.595	14
772.611	13
772.627	9
772.643	8
772.659	10
772.675	14
772.692	4
772.708	7
772.724	10
772.740	10
772.756	12
772.772	8
772.789	6
772.805	13
772.821	11
772.837	14
772.853	10
772.869	15
772.885	16
772.902	11
772.918	10
772.934	17
772.950	13
772.966	13
772.982	23
772.998	12
773.015	4
773.031	7
773.047	15
773.063	17
773.079	22
773.095	16
773.111	6
773.127	19
773.144	14
773.160	16
773.176	8
773.192	7
773.208	9
773.224	10
773.240	6
773.256	15
773.272	7
773.289	12
773.305	19
773.321	23
773.337	19
773.353	8
773.369	6
773.385	13
773.401	13
773.417	14
773.434	12
773.450	8
773.466	9
773.482	18
773.498	15
773.514	17
773.530	15
773.546	18
773.562	13
773.579	22
773.595	13
773.611	20
773.627	20
773.643	19
773.659	13
773.675	11
773.691	12
773.707	11
773.723	4
773.739	18
773.755	20
773.772	10
773.788	14
773.804	14
773.820	12
773.836	12
773.852	22
773.868	7
773.884	19
773.900	17
773.916	23
773.932	19
773.948	20
773.964	19
773.981	9
773.997	21
774.013	21
774.029	6
774.045	12
774.061	16
774.077	14
774.093	18
774.109	16
774.125	13
774.141	10
774.157	0
774.173	13
774.189	8
774.205	11
774.221	1
774.237	14
774.254	6
774.270	10
774.286	13
774.302	14
774.318	16
774.334	15
774.350	10
774.366	23
774.382	12
774.398	11
774.414	2
774.430	15
774.446	23
774.462	11
774.478	16
774.494	13
774.510	21
774.526	22
774.542	11
774.558	19
774.574	6
774.590	8
774.606	14
774.622	12
774.638	14
774.654	4
774.670	7
774.686	6
774.702	5
774.719	13
774.735	12
774.751	19
774.767	11
774.783	11
774.799	11
774.815	16
774.831	12
774.847	14
774.863	15
774.879	8
774.895	14
774.911	10
774.927	18
774.943	21
774.959	11
774.975	13
774.991	10
775.007	13
775.023	11
775.039	8
775.055	13
775.071	17
775.087	8
775.103	10
775.119	19
775.135	7
